pitch,yaw,x,y,z,state
-82.37,4.31,18,106,-204,0
-83.87,2.69,-125,287,-412,0
-77.44,-32.81,-479,198,-470,0
-69.44,-3,445,251,-54,0
-68.06,6.37,757,-509,223,0
-72.25,7.31,730,-272,-394,0
-82.19,30.19,49,79,-77,0
-85.37,-3.62,-501,-522,-272,0
-71.75,-3.94,359,-365,-186,0
-76.44,2.62,-502,-24,-382,0
-66.56,5.06,231,95,-459,0
-79.44,0.44,-143,161,-241,0
-82.19,37.94,-38,-7,-63,0
-82.19,-36.75,19,-223,-156,0
-70.56,-3.69,516,-275,-253,0
-76.75,1.5,-713,116,616,0
-74.44,10.44,-387,-117,-616,0
-82.69,14.5,145,123,-142,0
-83.87,4.25,-228,13,-536,0
-77.5,-32.06,-198,286,-359,0
-70.69,1,390,-29,11,0
-69.31,10.5,280,-726,14,0
-74.69,13.94,566,-317,-389,0
-82.75,28.62,27,82,-60,0
-84.56,-3.94,-396,-545,-264,0
-71.19,-13.13,238,-366,-257,0
-75.62,-3,-522,6,-468,0
-65.94,0,165,192,-643,0
-82.19,-0.81,-146,-47,-298,0
-83.19,4.87,-143,128,-117,0
-80.62,-27.12,0,-483,-337,0
-68.94,-1.56,484,-366,-298,0
-74.69,2.06,-757,77,450,0
-75.06,4.37,-660,-144,-442,0
-84.25,0.37,101,114,-121,0
-85.37,3.62,-162,-115,-480,0
-77.81,-31.25,-218,154,-399,0
-70.56,-5.69,454,176,-49,0
-72.12,1.94,-342,-924,-39,0
-73.62,2.87,565,-440,-450,0
-84.25,0.88,-22,195,-56,0
-84.81,-4.5,-273,-262,-207,0
-72.56,-22.12,269,-363,-201,0
-76.25,-6.94,-472,-172,-427,0
-68.62,-4.87,-46,219,-817,0
-82.31,-17,-233,171,-274,0
-85.5,2.37,-354,221,-209,0
-77.31,-44.63,-163,207,-311,0
-69.56,-7.06,475,86,-114,0
-72.87,-5,-932,-139,-985,0
-73,4.44,272,-603,-393,0
-83.19,-0.94,144,234,-13,0
-85,-2.94,191,-222,-175,0
-73,-27.19,265,-5,-274,0
-75.94,-7,-321,-126,-82,0
-65.75,-2.81,819,63,-403,0
-79.44,-8.19,118,20,-349,0
-83.69,4.06,-131,-181,-216,0
-81,-50.38,-261,-573,-248,0
-68.37,-9.06,598,-233,-276,0
-73.31,-3.62,-374,282,172,0
-73.94,-0.5,-365,-165,-451,0
-83.37,-1.31,117,183,-192,0
-85,2.19,-306,-26,-286,0
-75.94,-39.38,-71,338,-335,0
-70,-1.12,404,-7,-41,0
-71,6.75,-567,-970,-434,0
-73.75,12.13,446,-373,-401,0
-81,26.19,99,79,-67,0
-86.5,-2.06,-761,-504,-406,0
-72.31,-8.56,224,-118,-211,0
-74.62,9.94,-486,-30,-504,0
-65.81,7.56,127,205,-408,0
-65.62,26.5,387,-177,-298,0
-79.37,41.06,-234,98,-163,0
-75.94,3.75,-84,-599,-380,0
-68.12,-1.87,444,-279,-273,0
